woman;age;education;work;metropolitan_area;non_white;urban;work_permit;poverty
1;47;7;9;3;1;2;3;1
1;59;5;3;3;2;2;1;1
2;43;2;2;2;2;2;3;2
1;24;5;4;2;2;2;1;2
2;51;2;11;2;2;2;1;2
1;53;2;5;2;2;2;3;2
2;40;7;8;2;2;2;1;2
2;44;5;9;2;2;2;3;1
2;43;2;10;2;2;2;1;2
1;27;5;4;2;2;2;3;2
1;56;2;4;2;2;2;3;2
2;22;7;9;2;2;2;3;2
1;67;4;8;2;2;2;3;1
2;34;4;4;2;2;2;3;1
1;34;4;4;2;2;2;3;2
2;41;5;4;2;2;2;3;1
1;43;5;4;2;2;2;2;1
1;47;5;2;2;2;2;3;1
2;20;5;2;2;2;2;2;1
1;41;2;6;2;2;2;3;2
1;48;7;9;2;2;2;1;1
2;61;7;9;3;2;2;3;1
2;61;7;9;2;2;2;3;1
1;67;2;8;2;2;2;3;1
1;33;2;1;2;2;2;3;2
2;62;5;9;2;2;2;3;2
1;40;2;5;2;2;2;3;2
1;62;1;5;3;2;2;3;2
2;55;7;8;3;1;2;3;1
2;35;5;4;3;2;2;3;1
2;44;2;11;3;2;2;1;2
2;48;5;10;3;2;2;2;1
1;22;5;2;3;2;2;2;1
1;60;5;10;3;2;2;3;1
2;43;7;4;3;1;2;2;1
1;57;2;1;2;2;1;3;2
1;39;3;1;2;2;1;3;2
2;41;7;9;2;2;1;1;1
1;33;5;8;2;2;1;3;1
1;49;2;1;2;2;1;3;2
1;47;5;1;2;2;1;3;2
2;44;5;11;3;2;2;1;1
1;18;5;4;3;2;2;2;1
2;51;2;11;3;2;2;1;1
1;51;2;3;3;2;2;2;1
1;34;5;2;3;2;2;2;1
2;25;6;7;3;2;2;2;1
1;21;5;8;3;2;2;3;1
1;28;5;2;3;2;2;2;2
1;36;2;1;2;2;1;1;2
1;39;3;1;2;2;1;3;2
1;42;4;1;2;2;1;3;2
1;34;7;9;2;2;1;1;2
1;31;5;4;3;2;2;3;1
1;22;5;5;3;2;2;1;1
1;62;3;7;3;1;2;2;1
1;62;7;8;3;1;2;1;1
2;33;7;9;3;1;2;3;1
2;33;7;9;3;2;2;2;1
2;52;7;8;3;2;2;1;1
1;22;6;2;3;2;2;2;1
2;49;6;10;3;2;2;3;1
2;25;7;7;3;2;2;1;1
1;23;7;8;3;2;2;3;1
2;22;7;7;3;2;2;2;1
1;32;3;6;3;2;2;2;2
2;26;6;4;3;1;2;2;2
1;36;5;4;2;2;2;1;2
1;47;5;8;2;2;2;3;1
2;41;5;7;2;2;2;2;1
1;39;5;2;2;2;2;1;2
2;16;3;11;2;2;2;1;2
1;28;2;5;2;2;2;1;2
1;35;5;4;2;2;2;3;2
1;57;2;1;2;2;2;3;2
1;43;1;1;2;2;2;3;2
1;39;3;4;2;2;2;3;2
1;31;5;4;2;2;2;3;1
1;45;2;4;3;2;2;3;1
2;40;7;8;3;2;2;3;1
2;29;7;2;3;2;2;2;2
1;60;7;8;3;2;2;3;1
1;60;5;3;3;2;2;3;1
1;46;5;4;3;2;2;3;2
1;27;5;4;2;2;2;1;2
